iso_code,date,unemployment_rate_idx
PAK,2021-04-11,1.1260439560439552
PAK,2021-04-12,1.126593406593406
PAK,2021-04-13,1.1271428571428566
PAK,2021-04-14,1.127692307692307
PAK,2021-04-15,1.1282417582417577
PAK,2021-04-16,1.1287912087912082
PAK,2021-04-17,1.1293406593406587
PAK,2021-04-18,1.1298901098901093
PAK,2021-04-19,1.1304395604395598
PAK,2021-04-20,1.1309890109890104
PAK,2021-04-21,1.131538461538461
PAK,2021-04-22,1.1320879120879115
PAK,2021-04-23,1.132637362637362
PAK,2021-04-24,1.1331868131868126
PAK,2021-04-25,1.1337362637362631
PAK,2021-04-26,1.1342857142857137
PAK,2021-04-27,1.1348351648351642
PAK,2021-04-28,1.1353846153846148
PAK,2021-04-29,1.1359340659340653
PAK,2021-04-30,1.1364835164835159
PAK,2021-05-01,1.1370329670329664
PAK,2021-05-02,1.137582417582417
PAK,2021-05-03,1.1381318681318675
PAK,2021-05-04,1.1386813186813183
PAK,2021-05-05,1.1392307692307688
PAK,2021-05-06,1.1397802197802194
PAK,2021-05-07,1.14032967032967
PAK,2021-05-08,1.1408791208791205
PAK,2021-05-09,1.141428571428571
PAK,2021-05-10,1.1419780219780216
PAK,2021-05-11,1.142527472527472
PAK,2021-05-12,1.1430769230769227
PAK,2021-05-13,1.1436263736263732
PAK,2021-05-14,1.1441758241758238
PAK,2021-05-15,1.1447252747252743
PAK,2021-05-16,1.1452747252747248
PAK,2021-05-17,1.1458241758241754
PAK,2021-05-18,1.146373626373626
PAK,2021-05-19,1.1469230769230765
PAK,2021-05-20,1.147472527472527
PAK,2021-05-21,1.1480219780219776
PAK,2021-05-22,1.1485714285714281
PAK,2021-05-23,1.1491208791208787
PAK,2021-05-24,1.1496703296703292
PAK,2021-05-25,1.1502197802197798
PAK,2021-05-26,1.1507692307692303
PAK,2021-05-27,1.1513186813186809
PAK,2021-05-28,1.1518681318681316
PAK,2021-05-29,1.1524175824175822
PAK,2021-05-30,1.1529670329670327
PAK,2021-05-31,1.1535164835164833
PAK,2021-06-01,1.1540659340659338
PAK,2021-06-02,1.1546153846153844
PAK,2021-06-03,1.155164835164835
PAK,2021-06-04,1.1557142857142855
PAK,2021-06-05,1.156263736263736
PAK,2021-06-06,1.1568131868131866
PAK,2021-06-07,1.1573626373626371
PAK,2021-06-08,1.1579120879120877
PAK,2021-06-09,1.1584615384615382
PAK,2021-06-10,1.1590109890109888
PAK,2021-06-11,1.1595604395604393
